articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
3-9-2014_PS,78,76,df,2.564102564102564,MINOR_ERROR,NA
3-9-2014_PS,19.12,18.35,F,4.027196652719662,MINOR_ERROR,NA
3-9-2014_PS,0.001,0,p,100,MAJOR_ERROR,NA
3-9-2014_PS,0.2,0.19,pes,5.000000000000004,MINOR_ERROR,NA
3-9-2014_PS,78,76,df,2.564102564102564,MINOR_ERROR,NA
3-9-2014_PS,4.04,3.86,t,4.455445544554459,MINOR_ERROR,NA
3-9-2014_PS,0.001,0,p,100,MAJOR_ERROR,NA
3-9-2014_PS,78,78,df,0,MATCH,NA
3-9-2014_PS,-3.32,-3.21,t,3.3132530120481887,MINOR_ERROR,NA
3-9-2014_PS,0.001,0.002,p,100,MAJOR_ERROR,NA
